year_,changwat_id,changwat,ampur_id,ampur,male_thai,female_thai,total_thai,male,female,total,n_house
2563,10,กรุงเทพมหานคร,1001,เขตพระนคร,21211,22951,44162,21675,23248,44923,19137
2563,10,กรุงเทพมหานคร,1002,เขตดุสิต,44145,38183,82328,45038,38859,83897,31653
2563,10,กรุงเทพมหานคร,1003,เขตหนองจอก,86337,91265,177602,86564,91415,177979,66754
2563,10,กรุงเทพมหานคร,1004,เขตบางรัก,16611,20032,36643,21527,24230,45757,32371
2563,10,กรุงเทพมหานคร,1005,เขตบางเขน,87517,99025,186542,87998,99379,187377,114661
2563,10,กรุงเทพมหานคร,1006,เขตบางกะปิ,64808,78201,143009,65832,78900,144732,107103
2563,10,กรุงเทพมหานคร,1007,เขตปทุมวัน,18708,21734,40442,20310,23028,43338,32590
2563,10,กรุงเทพมหานคร,1008,เขตป้อมปราบศัตรูพ่าย,18923,20194,39117,20197,21327,41524,19627
2563,10,กรุงเทพมหานคร,1009,เขตพระโขนง,39205,47927,87132,39613,48243,87856,60007
2563,10,กรุงเทพมหานคร,1010,เขตมีนบุรี,66649,74790,141439,67100,75097,142197,61665
2563,10,กรุงเทพมหานคร,1011,เขตลาดกระบัง,84697,93524,178221,85131,93840,178971,98260
2563,10,กรุงเทพมหานคร,1012,เขตยานนาวา,34573,40226,74799,35644,40920,76564,53614
2563,10,กรุงเทพมหานคร,1013,เขตสัมพันธวงศ์,9940,10681,20621,10367,10957,21324,13197
2563,10,กรุงเทพมหานคร,1014,เขตพญาไท,32494,33845,66339,33116,34272,67388,44727
2563,10,กรุงเทพมหานคร,1015,เขตธนบุรี,47619,54296,101915,48394,54983,103377,57707
2563,10,กรุงเทพมหานคร,1016,เขตบางกอกใหญ่,29708,33600,63308,29987,33874,63861,32258
2563,10,กรุงเทพมหานคร,1017,เขตห้วยขวาง,36415,45521,81936,37714,46519,84233,85046
2563,10,กรุงเทพมหานคร,1018,เขตคลองสาน,29587,35017,64604,31969,37170,69139,39924
2563,10,กรุงเทพมหานคร,1019,เขตตลิ่งชัน,48112,54976,103088,48391,55226,103617,42898
2563,10,กรุงเทพมหานคร,1020,เขตบางกอกน้อย,47807,53466,101273,49100,54691,103791,50652
2563,10,กรุงเทพมหานคร,1021,เขตบางขุนเทียน,87174,97898,185072,87744,98400,186144,91013
2563,10,กรุงเทพมหานคร,1022,เขตภาษีเจริญ,57460,65954,123414,57946,66372,124318,65843
2563,10,กรุงเทพมหานคร,1023,เขตหนองแขม,72353,82857,155210,72884,83319,156203,62675
2563,10,กรุงเทพมหานคร,1024,เขตราษฎร์บูรณะ,37111,40901,78012,37487,41200,78687,37664
2563,10,กรุงเทพมหานคร,1025,เขตบางพลัด,40391,48431,88822,40709,48708,89417,55838
2563,10,กรุงเทพมหานคร,1026,เขตดินแดง,52767,61962,114729,53188,62320,115508,63821
2563,10,กรุงเทพมหานคร,1027,เขตบึงกุ่ม,63839,76285,140124,64199,76618,140817,75943
2563,10,กรุงเทพมหานคร,1028,เขตสาทร,34202,38764,72966,35828,39907,75735,43459
2563,10,กรุงเทพมหานคร,1029,เขตบางซื่อ,56438,65103,121541,56939,65471,122410,76116
2563,10,กรุงเทพมหานคร,1030,เขตจตุจักร,71139,83046,154185,71794,83503,155297,126570
2563,10,กรุงเทพมหานคร,1031,เขตบางคอแหลม,38059,42805,80864,39084,43649,82733,39812
2563,10,กรุงเทพมหานคร,1032,เขตประเวศ,83936,95388,179324,85343,96478,181821,92009
2563,10,กรุงเทพมหานคร,1033,เขตคลองเตย,42940,48323,91263,44156,49037,93193,77502
2563,10,กรุงเทพมหานคร,1034,เขตสวนหลวง,55445,66365,121810,56499,67110,123609,81116
2563,10,กรุงเทพมหานคร,1035,เขตจอมทอง,68402,76458,144860,70265,78025,148290,73778
2563,10,กรุงเทพมหานคร,1036,เขตดอนเมือง,85441,84773,170214,85823,84968,170791,77410
2563,10,กรุงเทพมหานคร,1037,เขตราชเทวี,28771,32262,61033,33137,36127,69264,52494
2563,10,กรุงเทพมหานคร,1038,เขตลาดพร้าว,52911,63584,116495,53232,63876,117108,57916
2563,10,กรุงเทพมหานคร,1039,เขตวัฒนา,30902,37508,68410,37972,43651,81623,82407
2563,10,กรุงเทพมหานคร,1040,เขตบางแค,89012,102836,191848,89776,103527,193303,94020
2563,10,กรุงเทพมหานคร,1041,เขตหลักสี่,48668,53610,102278,48897,53807,102704,57833
2563,10,กรุงเทพมหานคร,1042,เขตสายไหม,96336,109309,205645,97252,110020,207272,106139
2563,10,กรุงเทพมหานคร,1043,เขตคันนายาว,40694,47481,88175,44940,51390,96330,45864
2563,10,กรุงเทพมหานคร,1044,เขตสะพานสูง,43727,51805,95532,44058,52034,96092,41308
2563,10,กรุงเทพมหานคร,1045,เขตวังทองหลาง,48601,58054,106655,49053,58405,107458,62673
2563,10,กรุงเทพมหานคร,1046,เขตคลองสามวา,96319,107984,204303,96669,108231,204900,86477
2563,10,กรุงเทพมหานคร,1047,เขตบางนา,40229,47023,87252,40980,47555,88535,72092
2563,10,กรุงเทพมหานคร,1048,เขตทวีวัฒนา,36233,42033,78266,36493,42256,78749,34420
2563,10,กรุงเทพมหานคร,1049,เขตทุ่งครุ,57616,65358,122974,58027,65673,123700,54595
2563,10,กรุงเทพมหานคร,1050,เขตบางบอน,48690,53390,102080,49897,54469,104366,50825
2563,11,สมุทรปราการ,1101,อำเภอเมืองสมุทรปราการ,59866,66387,126253,59997,66480,126477,58292
2563,11,สมุทรปราการ,1102,อำเภอบางบ่อ,44351,47016,91367,44979,47569,92548,45054
2563,11,สมุทรปราการ,1103,อำเภอบางพลี,122819,138742,261561,123636,139290,262926,165989
2563,11,สมุทรปราการ,1104,อำเภอพระประแดง,18586,20164,38750,18613,20191,38804,13440
2563,11,สมุทรปราการ,1105,อำเภอพระสมุทรเจดีย์,55113,59278,114391,55233,59376,114609,53227
2563,11,สมุทรปราการ,1106,อำเภอบางเสาธง,28490,30405,58895,28582,30461,59043,43802
2563,11,สมุทรปราการ,1183,ท้องถิ่นเทศบาลเมืองปากน้ำสมุทรปราการ,16996,19323,36319,17058,19367,36425,15418
2563,11,สมุทรปราการ,1184,ท้องถิ่นเทศบาลตำบลบางเสาธง,10375,11326,21701,10405,11349,21754,17089
2563,11,สมุทรปราการ,1185,ท้องถิ่นเทศบาลตำบลแหลมฟ้าผ่า,10330,10930,21260,10349,10960,21309,9008
2563,11,สมุทรปราการ,1186,ท้องถิ่นเทศบาลตำบลพระสมุทรเจดีย์,5641,5863,11504,5931,6150,12081,5697
2563,11,สมุทรปราการ,1187,ท้องถิ่นเทศบาลตำบลบางพลี,3407,3613,7020,5903,5934,11837,2197
2563,11,สมุทรปราการ,1188,ท้องถิ่นเทศบาลตำบลบางบ่อ,3064,3353,6417,3083,3362,6445,2331
2563,11,สมุทรปราการ,1189,ท้องถิ่นเทศบาลตำบลคลองสวน,1459,1539,2998,1461,1539,3000,851
2563,11,สมุทรปราการ,1190,ท้องถิ่นเทศบาลตำบลคลองด่าน,5590,5764,11354,5609,5781,11390,3174
2563,11,สมุทรปราการ,1191,ท้องถิ่นเทศบาลตำบลบางปู,57430,61768,119198,57602,61898,119500,59612
2563,11,สมุทรปราการ,1192,ท้องถิ่นเทศบาลตำบลแพรกษา,12557,14205,26762,12597,14243,26840,15544
2563,11,สมุทรปราการ,1193,ท้องถิ่นเทศบาลตำบลบางเมือง,46429,52969,99398,46603,53123,99726,50039
2563,11,สมุทรปราการ,1194,ท้องถิ่นเทศบาลตำบลด่านสำโรง,25581,29143,54724,25688,29230,54918,25203
2563,11,สมุทรปราการ,1195,ท้องถิ่นเทศบาลเมืองปู่เจ้าสมิงพราย,34609,36795,71404,34740,36903,71643,35651
2563,11,สมุทรปราการ,1196,ท้องถิ่นเทศบาลตำบลสำโรงเหนือ,13873,16523,30396,14022,16611,30633,29943
2563,11,สมุทรปราการ,1197,ท้องถิ่นเทศบาลเมืองลัดหลวง,33167,36166,69333,33959,36937,70896,37404
2563,11,สมุทรปราการ,1198,ท้องถิ่นเทศบาลเมืองพระประแดง,4318,4645,8963,4372,4699,9071,2182
2563,11,สมุทรปราการ,1199,ท้องถิ่นเทศบาลนครสมุทรปราการ,20532,22183,42715,24094,25510,49604,20657
2563,12,นนทบุรี,1201,อำเภอเมืองนนทบุรี,26620,30754,57374,26695,30820,57515,30511
2563,12,นนทบุรี,1202,อำเภอบางกรวย,15416,18122,33538,15472,18175,33647,19019
2563,12,นนทบุรี,1203,อำเภอบางใหญ่,47208,54798,102006,47495,55017,102512,51485
2563,12,นนทบุรี,1204,อำเภอบางบัวทอง,86751,99116,185867,87017,99366,186383,96585
2563,12,นนทบุรี,1205,อำเภอไทรน้อย,32324,35509,67833,32561,35734,68295,32063
2563,12,นนทบุรี,1206,อำเภอปากเกร็ด,23232,25833,49065,23495,26245,49740,23589
