year_,changwat_id,changwat,male_thai,female_thai,total_thai,male,female,total,n_house
2563,10,กรุงเทพมหานคร,2570872,2917004,5487876,2625938,2962284,5588222,3103483
2563,11,สมุทรปราการ,634583,698100,1332683,644516,706963,1351479,711804
2563,12,นนทบุรี,588874,677856,1266730,594308,682437,1276745,718799
2563,13,ปทุมธานี,552618,614361,1166979,557752,618660,1176412,642474
2563,14,พระนครศรีอยุธยา,392431,424550,816981,393551,425537,819088,336357
2563,15,อ่างทอง,132190,143987,276177,132393,144191,276584,101291
2563,16,ลพบุรี,370368,371154,741522,371157,371771,742928,299338
2563,17,สิงห์บุรี,97734,107868,205602,97897,108001,205898,78410
2563,18,ชัยนาท,154831,167302,322133,155013,167464,322477,126673
2563,19,สระบุรี,313125,324281,637406,316505,327323,643828,283069
2563,20,ชลบุรี,751295,794192,1545487,763983,802902,1566885,1070209
2563,21,ระยอง,359926,374169,734095,364200,377324,741524,506761
2563,22,จันทบุรี,260195,271810,532005,262027,273532,535559,243727
2563,23,ตราด,108360,110647,219007,113131,115405,228536,108270
2563,24,ฉะเชิงเทรา,351375,365376,716751,353442,367276,720718,313586
2563,25,ปราจีนบุรี,243474,249244,492718,244018,249652,493670,220064
2563,26,นครนายก,127883,130815,258698,128627,131454,260081,101547
2563,27,สระแก้ว,278266,278637,556903,280017,280908,560925,217621
2563,30,นครราชสีมา,1291880,1336722,2628602,1294622,1338585,2633207,1004213
2563,31,บุรีรัมย์,783800,795394,1579194,785222,795962,1581184,476118
2563,32,สุรินทร์,684821,691955,1376776,685800,692421,1378221,403890
2563,33,ศรีสะเกษ,725606,731759,1457365,726306,732274,1458580,399090
2563,34,อุบลราชธานี,928979,929670,1858649,932400,934297,1866697,616810
2563,35,ยโสธร,266813,267344,534157,267016,267484,534500,175666
2563,36,ชัยภูมิ,555246,568557,1123803,556045,568879,1124924,400583
2563,37,อำนาจเจริญ,186966,188451,375417,187309,188886,376195,120188
2563,38,บึงกาฬ,211267,210012,421279,211673,210369,422042,137871
2563,39,หนองบัวลำภู,253796,255102,508898,254231,255239,509470,152361
2563,40,ขอนแก่น,879932,911103,1791035,882462,912069,1794531,640781
2563,41,อุดรธานี,772309,788312,1560621,777107,790876,1567983,528347
